@relation PC3-weka.filters.supervised.instance.SMOTE-C0-K10-P700.0-S9

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
14,11,4,3,0,20,6,0.23,10,2,3,0.5,26,1,0,23,1,41.87,14.17,8403.03,0.2,110,0.07,466.83,593.15,0.17,5,10,22,0.15,51,59,27,15,41,11.54,26,N
6,3,1,1,3,4,2,0.5,2,2,2,1,5,1,0,3,1,12.18,3,109.62,0.01,11,0.33,6.09,36.54,0.5,1,2,5,0.14,4,7,4,6,14,57.14,4,N
14,19,6,5,12,24,11,0.28,10,2.4,9,0.82,37,3,0.2,34,2,37.31,23.86,21248.49,0.3,152,0.04,1180.47,890.41,0.27,7,12,28,0.17,63,89,33,25,66,33.33,39,N
20,17,2,3,12,20,10,0.26,8,2.5,3,0.3,31,3,0.22,36,5,31.44,19.3,11716.29,0.2,107,0.05,650.91,606.95,0.3,6,10,23,0.14,47,60,28,23,72,29.41,39,N
6,3,6,1,0,4,2,0.18,2,2,2,1,10,1,0,10,1,31.9,6.9,1518.54,0.07,48,0.14,84.36,220.08,0.5,1,2,10,0.11,23,25,15,9,18,9.09,11,Y
17,7,4,4,7,12,4,0.2,6,2,4,1,22,1,0,16,1,46.83,14.48,9823.41,0.23,125,0.07,545.75,678.28,0.25,3,6,20,0.09,60,65,29,14,45,40.74,20,N
7,5,2,2,4,8,3,0.3,4,2,3,1,11,1,0,8,1,17.81,11.08,2188.05,0.07,42,0.09,121.56,197.42,0.33,2,4,10,0.14,19,23,12,14,22,42.86,10,N
3,5,6,1,0,6,3,0.27,2,3,2,0.67,12,1,0,10,0,32.98,6.18,1260.48,0.07,48,0.16,70.03,203.9,0.33,2,3,11,0.2,17,31,11,8,15,9.09,11,N
2,11,0,7,6,14,6,0.2,4,3.5,1,0.17,16,4,0.6,23,7,36.79,15.58,8933.27,0.19,107,0.06,496.29,573.26,0.67,5,8,12,0.15,44,63,24,17,39,36.11,30,N
9,11,2,8,15,20,6,0.13,10,2,3,0.5,24,1,0,40,0,56.47,17.4,17102.11,0.33,180,0.06,950.12,982.7,0.17,5,10,20,0.08,83,97,31,13,73,36.51,48,N
0,5,2,0,0,8,3,0.23,4,2,3,1,11,1,0,13,6,23.44,7.33,1260.57,0.06,38,0.14,70.03,171.9,0.33,2,4,10,0.21,16,22,12,11,14,0,13,N
8,8,3,0,1,4,6,0.15,2,2,6,1,17,1,0,39,0,55.83,18.8,19738.62,0.35,186,0.05,1096.59,1049.76,0.17,1,2,13,0.12,73,113,33,17,49,2.5,39,N
10,7,5,1,3,10,4,0.14,4,2.5,4,1,16,4,1,28,1,45.13,11.11,5572.06,0.17,93,0.09,309.56,501.49,1,3,5,14,0.08,40,53,27,15,51,12.5,29,N
11,3,0,4,9,4,2,0.04,2,2,1,0.5,6,1,0,41,1,135.48,9.97,13474.88,0.45,249,0.1,748.6,1351.14,0.5,1,2,6,0.03,123,126,37,6,66,24.07,45,N
